Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
In-distribution,Adaptive Resampled,Multilabel,46,0.9915966386554622,0.9957805907172996,0.9936842105263158
In-distribution,Adaptive Resampled,Multilabel,47,0.9926470588235294,0.9926470588235294,0.9926470588235294
In-distribution,Adaptive Resampled,Multilabel,48,,0.0,
In-distribution,Adaptive Resampled,Multilabel,49,0.9879518072289156,0.9761904761904762,0.9820359281437125
In-distribution,Adaptive Resampled,Multilabel,50,1.0,0.9841897233201581,0.99203187250996
In-distribution,Adaptive Resampled,Multilabel,51,1.0,1.0,1.0
In-distribution,Adaptive Resampled,Multilabel,52,1.0,0.8148148148148148,0.8979591836734693
In-distribution,Adaptive Resampled,Multilabel,53,0.9790575916230366,0.9946808510638298,0.9868073878627969
In-distribution,Adaptive Resampled,Multilabel,54,0.972972972972973,1.0,0.9863013698630138
In-distribution,Adaptive Resampled,Multilabel,55,1.0,0.9411764705882353,0.9696969696969697
In-distribution,Adaptive Resampled,Multilabel,56,1.0,0.6666666666666666,0.8
In-distribution,Adaptive Resampled,Multilabel,57,,,
In-distribution,Adaptive Resampled,Multilabel,58,0.9862068965517241,1.0,0.9930555555555556
In-distribution,Adaptive Resampled,Multilabel,59,1.0,1.0,1.0
In-distribution,Adaptive Resampled,Multilabel,60,0.9322916666666666,0.9944444444444445,0.9623655913978495
In-distribution,Adaptive Resampled,Multilabel,61,0.5,1.0,0.6666666666666666
In-distribution,Adaptive Resampled,Multilabel,62,0.9945054945054945,0.9945054945054945,0.9945054945054945
In-distribution,Adaptive Resampled,Multilabel,63,0.9583333333333334,1.0,0.9787234042553191
DSBI,Adaptive Resampled,Multilabel,0,,0.0,
DSBI,Adaptive Resampled,Multilabel,1,0.9645776566757494,0.9962476547842402,0.9801568989386248
DSBI,Adaptive Resampled,Multilabel,2,0.9490740740740741,0.9935379644588045,0.9707971586424625
DSBI,Adaptive Resampled,Multilabel,3,0.9726148409893993,0.9990925589836661,0.9856759176365264
DSBI,Adaptive Resampled,Multilabel,4,0.8484848484848485,0.9929078014184397,0.9150326797385621
DSBI,Adaptive Resampled,Multilabel,5,0.9542097488921714,0.9892802450229708,0.9714285714285714
DSBI,Adaptive Resampled,Multilabel,6,0.9709808473592572,0.9911137440758294,0.9809440046907065
DSBI,Adaptive Resampled,Multilabel,7,0.9924487594390508,0.9818569903948773,0.9871244635193134
DSBI,Adaptive Resampled,Multilabel,8,0.9581993569131833,0.9966555183946488,0.9770491803278689
DSBI,Adaptive Resampled,Multilabel,9,0.9708171206225681,0.9803536345776032,0.975562072336266
DSBI,Adaptive Resampled,Multilabel,10,0.9855682501503308,0.9808497905445841,0.9832033593281343
DSBI,Adaptive Resampled,Multilabel,11,0.9639751552795031,0.9910600255427842,0.9773299748110831
DSBI,Adaptive Resampled,Multilabel,12,0.9539033457249071,0.9764079147640792,0.9650244452801805
DSBI,Adaptive Resampled,Multilabel,13,0.9768270944741533,0.9803220035778175,0.9785714285714285
DSBI,Adaptive Resampled,Multilabel,14,0.9804469273743017,0.9069767441860465,0.9422818791946308
DSBI,Adaptive Resampled,Multilabel,15,0.9959677419354839,0.9610894941634242,0.9782178217821782
DSBI,Adaptive Resampled,Multilabel,16,0.9524594668865073,0.9997115661955581,0.975513650436251
DSBI,Adaptive Resampled,Multilabel,17,0.9703264094955489,0.956140350877193,0.9631811487481591
DSBI,Adaptive Resampled,Multilabel,18,0.9892415277030662,0.982896846606093,0.986058981233244
DSBI,Adaptive Resampled,Multilabel,19,0.9915656299420137,0.9915656299420137,0.9915656299420137
DSBI,Adaptive Resampled,Multilabel,20,0.9568733153638814,0.977961432506887,0.9673024523160764
DSBI,Adaptive Resampled,Multilabel,21,0.9757834757834758,0.9927536231884058,0.9841954022988505
DSBI,Adaptive Resampled,Multilabel,22,0.9875518672199171,0.9577464788732394,0.9724208375893768
DSBI,Adaptive Resampled,Multilabel,23,0.9874476987447699,0.9554655870445344,0.9711934156378601
DSBI,Adaptive Resampled,Multilabel,24,0.9322033898305084,0.8270676691729323,0.8764940239043824
DSBI,Adaptive Resampled,Multilabel,25,0.9934102141680395,0.9923203510696654,0.9928649835345775
DSBI,Adaptive Resampled,Multilabel,26,0.9604166666666667,0.9829424307036247,0.9715489989462592
DSBI,Adaptive Resampled,Multilabel,27,0.9827586206896551,0.9951836243226971,0.988932096918935
DSBI,Adaptive Resampled,Multilabel,28,0.969551282051282,0.983739837398374,0.976594027441485
DSBI,Adaptive Resampled,Multilabel,29,0.9815789473684211,0.9738903394255874,0.9777195281782439
DSBI,Adaptive Resampled,Multilabel,30,0.9846582984658299,0.9566395663956639,0.970446735395189
DSBI,Adaptive Resampled,Multilabel,31,0.9729166666666667,0.9831578947368421,0.9780104712041885
DSBI,Adaptive Resampled,Multilabel,32,0.941747572815534,0.9748743718592965,0.9580246913580247
DSBI,Adaptive Resampled,Multilabel,33,0.9742268041237113,0.9626485568760611,0.968403074295474
DSBI,Adaptive Resampled,Multilabel,34,0.9852125693160814,0.9888682745825603,0.987037037037037
DSBI,Adaptive Resampled,Multilabel,35,0.9746192893401016,0.9576059850374065,0.9660377358490565
DSBI,Adaptive Resampled,Multilabel,36,0.9936628643852978,0.9011494252873563,0.9451476793248945
